ID,Price,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,TransportAccess,Fireplace,HouseColor,Garage,Floors,Windows,PreviousSalePrice,IsLuxury
5281,-0.9806891649350465,721.17,-0.7268617772913977,0.9702128885912258,209.36,73.48,5.39,11.6,11.94,96.98,1.32,3.73,7.55,4.77,No,Green,No,2,19,106659.6535,0
1132,-1.3441230133231068,755.33,-0.7565483054119478,-0.008388007682344774,645.2,41.03,7.33,118.89,25.81,91.78,2.14,2.23,2.17,3.02,Yes,White,No,1,20,1043.931448,0
3827,-0.9825590180237289,550.0,0.22354270278156557,-0.008388007682344774,846.59,39.09,6.84,105.21,16.57,96.5,1.6,3.21,5.69,5.39,No,Green,Yes,1,23,100023.1061,0
764,-0.27330040253582033,550.0,1.2026983904763824,0.9702128885912258,402.0,30.64,3.26,10.23,7.41,90.59,2.03,4.22,5.11,4.8,No,Green,No,1,3,235030.3987,0
5794,-1.4079107134928301,550.0,-0.17045082572047673,-0.008388007682344774,730.12,47.64,3.51,80.17,39.09,92.23,1.52,3.21,4.24,8.74,Yes,Red,Yes,1,13,-2159.199171,0
2304,-0.7522684047667008,1059.87,-0.2985625369846812,-0.9869889039559153,839.43,16.47,4.71,42.99,22.79,86.82,1.41,4.31,3.74,5.73,No,White,Yes,1,18,179158.7843,0
5179,-1.1843524896922637,854.32,-1.1878277437103808,-0.008388007682344774,87.62,18.81,4.98,122.77,27.28,92.06,1.79,2.35,3.63,7.06,Yes,White,No,2,45,18275.2928,0
5073,-0.20660381685755266,1179.53,0.5472474048917998,-0.008388007682344774,242.2,30.89,7.96,105.03,18.42,94.89,1.84,3.17,9.07,3.57,No,Green,No,1,13,373278.0855,1
3626,-0.45666160783161075,748.96,-1.1878277437103808,-0.008388007682344774,488.79,18.0,5.72,71.87,10.13,88.03,1.95,6.02,9.7,4.01,Yes,Red,Yes,2,29,138998.9321,0
1794,-0.816452359249524,666.73,0.2476706521476266,-0.9869889039559153,658.54,30.58,4.24,28.32,21.11,92.79,2.02,4.35,9.26,8.65,No,White,Yes,1,13,128237.968,0
5978,-0.8475253041767978,1454.19,1.0006172274548408,-1.9655898002294858,640.5,10.7,8.36,80.34,7.35,88.73,1.9,5.34,5.28,6.32,No,Green,No,1,12,142388.0598,0
3770,-1.031583703220934,701.73,-0.553722135150016,-0.008388007682344774,722.35,51.91,6.36,39.1,24.89,99.9,1.86,4.03,7.87,5.18,No,White,No,1,10,48779.107,0
2086,-0.4201846673283724,757.7,0.3223629618955497,-0.9869889039559153,314.53,20.76,9.81,56.33,7.18,99.47,1.37,4.15,4.63,4.78,No,Green,Yes,2,40,154916.1763,0
5950,-1.3409436539996795,550.0,-1.1878277437103808,-0.008388007682344774,576.18,50.25,5.63,1.6,18.78,91.75,1.86,1.27,6.83,5.66,No,Blue,No,2,11,381.1989165,0
6016,-0.6907023772641397,550.0,0.6669604538611593,-0.9869889039559153,382.59,25.47,7.55,115.79,24.57,93.9,1.72,3.47,8.45,9.46,Yes,Blue,No,2,29,215962.4519,0
643,-0.5741594656289923,732.21,0.27148262850712,-0.9869889039559153,102.03,0.35,6.63,20.33,19.03,91.18,1.26,3.02,3.0,5.53,Yes,Red,No,1,21,164179.0173,1
6416,-0.9337966609437763,735.97,-1.1878277437103808,0.9702128885912258,144.0,43.21,5.99,90.38,45.42,98.31,2.02,3.53,1.57,6.18,No,White,No,1,9,143456.558,0
2463,-0.7395162018502087,1423.83,-0.004974384112965086,-1.9655898002294858,62.69,35.01,6.37,64.17,28.83,97.52,1.37,3.42,4.43,7.05,No,Red,No,1,15,185449.727,0
321,-0.46605312477781113,899.53,0.8969404694661853,-0.008388007682344774,328.43,4.05,9.92,27.81,16.74,93.74,0.62,5.61,9.12,8.23,No,Blue,No,2,50,279262.1358,1
443,-0.275470481300636,1608.13,-1.1878277437103808,0.9702128885912258,751.05,33.09,5.65,37.3,7.78,97.45,1.22,5.52,6.77,5.52,No,Yellow,Yes,2,42,281459.367,0
2592,-0.6850395950627713,862.32,1.6303576164671367,-1.9655898002294858,224.59,0.17,6.17,13.28,38.71,94.91,0.98,2.85,2.7,7.75,No,Red,Yes,2,29,222800.7207,0
5253,-1.3745956021281511,550.0,-0.256466847829014,-0.9869889039559153,1101.84,8.17,6.92,20.42,9.71,97.61,1.07,5.38,9.74,5.44,No,Blue,No,1,16,4456.296767,0
4262,-1.1561155398716718,862.01,-0.3917741287742891,-0.9869889039559153,249.1,0.3,8.7,33.68,4.06,87.54,1.23,5.96,6.21,5.3,No,Green,No,1,16,87417.61365,0
1205,-1.0279245716436543,550.0,-1.1878277437103808,0.9702128885912258,492.37,37.45,5.9,53.11,11.73,87.58,1.69,2.16,6.13,3.42,No,Yellow,No,1,13,59000.08929,0
3192,-0.7449615279279795,940.02,0.16893519879175273,-0.9869889039559153,595.3,17.77,5.49,16.67,9.26,99.9,1.34,2.44,6.77,6.99,Yes,White,No,1,16,76085.04288,0
269,-1.2835423842842577,550.0,-0.07293514765610197,-0.008388007682344774,136.88,25.14,4.1,98.56,22.28,90.32,2.47,1.52,5.18,3.0,No,Red,No,1,15,20875.65572,0
1471,-1.155526314342665,550.0,-1.074471727861512,1.9488137848647964,244.84,44.41,9.15,42.51,9.59,87.68,2.05,7.13,0.42,2.25,No,Blue,Yes,1,26,68329.73167,0
5823,-0.39352213638965106,989.32,-0.9885404108590773,0.9702128885912258,525.88,21.41,7.99,50.54,30.11,89.56,1.55,3.33,0.99,0.01,No,Red,No,2,16,137862.4402,0
289,-1.208547384628893,550.0,-0.40163985104464217,-0.9869889039559153,279.77,23.71,6.43,10.11,29.45,88.13,1.2,3.99,3.9,3.69,No,Yellow,No,1,15,24010.94675,0
610,-1.1205665674606633,1135.53,-1.1878277437103808,-0.008388007682344774,638.61,39.12,8.08,21.53,28.42,93.83,1.13,3.91,3.79,5.77,No,Blue,No,1,18,90044.63194,0
581,-0.9305586512388885,826.35,-1.1878277437103808,-0.9869889039559153,667.2,13.62,6.84,52.03,9.4,91.92,0.42,4.99,0.12,5.12,No,Red,No,2,18,160419.296,0
2942,-0.3108106129096048,1161.75,-0.7005753380197675,0.9702128885912258,927.64,16.95,10.0,101.8,8.48,89.06,1.09,4.65,2.29,5.76,No,Blue,No,2,22,387123.6983,0
81,-0.4492451798239216,972.44,-1.0284939115454794,-0.008388007682344774,181.58,72.18,7.29,38.06,35.95,94.53,1.51,4.36,3.3,7.42,No,Blue,No,1,21,191925.6804,0
4944,-0.8646497717960123,636.83,0.09733151935620893,-0.008388007682344774,195.19,1.6,7.65,21.26,25.34,94.62,1.94,6.28,4.35,7.39,No,Yellow,No,1,14,267340.8848,0
4289,-0.6215767230826373,1281.0,-1.1600037914340269,-0.9869889039559153,12.43,18.25,5.64,18.85,11.84,94.81,1.49,3.05,6.22,7.54,Yes,Red,No,1,10,151408.9427,0
652,-1.339068836296155,736.55,-0.7036941575381057,-0.9869889039559153,458.72,33.88,9.02,48.02,7.02,91.84,1.74,5.55,10.0,8.33,Yes,Green,Yes,1,16,-3876.394708,0
6588,-0.27266488921555254,998.18,-0.11165961957348705,1.9488137848647964,358.05,4.74,6.82,79.88,4.86,83.21,1.79,5.07,5.78,7.13,No,Green,No,2,19,344306.9524,0
5146,-0.37404486221192546,1487.28,-1.1878277437103808,-0.008388007682344774,160.18,15.28,7.12,64.99,9.46,95.94,1.49,6.06,8.25,5.63,No,Yellow,No,2,28,221990.5057,1
6373,-0.6546684875135278,550.0,-1.1878277437103808,-0.008388007682344774,68.17,63.39,4.12,46.67,3.82,85.23,1.82,3.23,6.63,7.72,No,Yellow,No,1,16,175721.8305,0
5647,-0.7636281201256215,550.0,-0.6598769970233788,-0.9869889039559153,349.55,39.72,4.56,107.8,21.23,92.7,1.51,5.93,6.95,8.36,No,White,Yes,1,23,129518.3305,0
5592,-0.8402783403499517,1347.17,-1.1878277437103808,0.9702128885912258,376.98,20.52,6.27,30.51,24.99,88.96,0.64,2.67,5.99,4.39,No,Red,No,1,6,161970.1401,0
4996,-0.6449843126823503,1113.68,-0.4991131182878058,-0.008388007682344774,911.15,7.55,10.0,74.51,16.44,87.11,1.01,7.8,3.89,3.93,Yes,Green,No,2,38,313352.88,0
5288,-0.9776529103847237,550.0,0.400410775376431,-0.008388007682344774,527.12,22.66,6.29,14.44,47.86,96.2,1.25,4.34,2.45,5.1,No,Red,Yes,1,14,159308.6831,0
6211,-1.1245234693773998,852.25,-1.1878277437103808,-0.9869889039559153,522.58,83.85,3.93,149.93,22.48,89.69,1.66,5.26,7.6,4.31,No,White,Yes,1,19,29838.92482,0
2337,-0.7254810145971226,916.71,-0.7787525656081691,-0.008388007682344774,579.87,28.83,4.29,27.64,8.22,83.99,1.95,3.33,1.44,4.74,No,Green,No,1,18,151737.7956,0
1520,-1.2743848109109195,794.53,-0.0427778390525013,-1.9655898002294858,510.42,6.72,6.92,22.19,33.23,92.87,1.08,4.86,5.09,4.66,Yes,Green,No,1,26,40286.07127,1
6565,-0.4971211929948919,1156.67,-0.2108603991665323,-0.008388007682344774,484.04,30.35,7.04,60.91,14.63,99.9,1.14,2.17,3.12,4.2,No,White,No,2,25,373250.4189,0
765,-0.44541253046277435,1420.65,0.914951599612011,-0.9869889039559153,897.0,25.05,8.02,125.22,0.55,99.9,1.57,5.41,7.22,7.87,No,Red,Yes,1,13,292933.0497,0
6990,-1.1357510513957487,806.38,-0.9855792754795186,-0.008388007682344774,833.94,15.79,3.63,93.14,37.27,89.26,1.33,3.31,5.88,3.69,Yes,Green,Yes,1,13,169236.9098,0
4095,-0.7712610532884314,550.0,-0.3325246682237584,0.9702128885912258,802.1,17.39,7.88,74.58,21.37,82.0,2.57,3.19,2.75,6.76,No,Blue,No,1,10,207038.5091,1
4180,-1.3045458123639315,550.0,0.20030698487260956,-0.9869889039559153,406.06,28.88,5.19,54.2,20.71,96.16,1.3,3.94,4.65,2.85,No,Yellow,Yes,2,25,40438.92549,0
1049,-0.4663110643220509,853.71,-1.1878277437103808,-1.9655898002294858,319.26,42.17,2.78,37.3,17.74,96.17,0.83,1.46,5.1,5.17,No,Green,No,1,13,151186.7165,0
24,-1.1461617321800885,946.9,-1.0136626586001676,-0.008388007682344774,596.87,25.8,6.08,120.73,26.67,97.35,1.82,1.35,5.44,5.06,Yes,Yellow,Yes,2,28,38906.05314,0
4254,-0.7483013332143832,1030.3,-0.6120548538208263,-0.008388007682344774,248.55,28.43,5.41,50.32,1.85,98.05,1.96,1.02,5.83,5.79,No,White,Yes,1,12,140904.0933,0
4105,-0.4986817415886419,550.0,0.09049247102156109,0.9702128885912258,65.08,42.04,5.86,116.05,20.0,86.07,1.57,1.47,7.12,7.31,No,White,No,1,12,183307.6768,0
3873,-0.7665774802643435,550.0,-1.1878277437103808,-1.9655898002294858,716.74,17.56,3.36,71.11,21.42,84.46,1.5,2.2,8.13,6.16,No,Yellow,Yes,1,8,184556.5177,0
1523,-0.33796727319559094,1065.11,1.514978961614576,0.9702128885912258,950.21,37.43,6.85,77.58,18.98,91.82,1.58,6.38,8.57,8.38,Yes,Yellow,No,1,13,419170.9819,0
4911,-0.9173088274291064,550.0,0.3835773066798539,-0.008388007682344774,656.92,56.88,6.69,62.6,39.67,85.59,2.09,4.39,2.51,5.89,No,Green,Yes,1,5,110679.685,0
2637,-0.5548895145662202,550.0,0.1499236158933866,-0.008388007682344774,310.37,33.49,5.49,49.59,18.33,99.9,1.4,3.49,3.11,5.7,Yes,Red,No,1,8,171259.3521,0
6699,-0.7462126594822089,826.08,1.0372452067885234,-0.9869889039559153,340.94,70.57,3.63,7.51,8.48,91.82,1.66,0.34,7.35,5.7,Yes,Blue,No,1,7,109298.8332,0
2212,-1.1347729856448512,550.0,-0.4675629885934745,-0.008388007682344774,140.94,24.9,7.52,31.11,24.4,95.55,1.73,4.98,5.01,4.66,No,Blue,No,1,7,44002.73589,0
5956,-0.6654102738117263,1017.03,1.6261844424740133,-0.9869889039559153,478.38,23.05,6.78,80.57,10.37,99.9,2.71,4.46,8.72,4.62,No,Yellow,Yes,1,19,169135.407,1
1998,-0.5941454340220204,550.0,-0.45305028610215264,-0.9869889039559153,433.46,42.42,5.69,59.29,44.73,97.08,1.93,1.17,1.62,3.48,No,Blue,Yes,1,13,132360.3442,0
5159,-0.6406956053442839,1133.6,-0.03961271576996152,-0.008388007682344774,396.68,46.01,5.12,63.23,25.22,93.79,1.05,3.41,2.46,5.63,No,Red,Yes,1,8,262243.3169,0
6068,-1.0091936312450223,550.0,-0.3833016118495576,0.9702128885912258,434.12,72.52,7.95,73.42,39.25,99.9,1.17,3.95,4.2,4.87,No,Yellow,No,1,23,107219.9294,0
4674,-0.1897114321627939,1136.23,-0.26167915728354824,0.9702128885912258,634.95,54.97,6.07,19.17,6.92,95.79,1.72,5.6,5.85,4.8,No,Blue,No,1,7,324830.0812,0
2859,-0.3562047095686665,786.83,-0.6767587128060227,1.9488137848647964,459.72,33.12,7.45,65.18,8.71,99.33,0.63,4.81,7.53,10.0,No,Blue,No,2,20,342677.9211,0
6711,-1.2253023816824615,648.96,-1.1878277437103808,0.9702128885912258,817.19,21.12,5.83,18.85,3.02,98.19,1.51,2.09,3.67,6.65,No,Red,No,1,17,18473.72053,0
1366,-0.37034913899255995,550.0,-0.0031028759173760147,-0.008388007682344774,242.04,55.31,2.58,49.47,16.98,90.5,1.59,1.55,0.03,5.25,Yes,White,Yes,1,21,151431.0376,0
4339,-0.9457438710424381,561.26,-1.1878277437103808,-0.9869889039559153,1131.07,34.14,4.99,103.38,21.56,96.64,2.09,1.78,3.11,4.36,Yes,Red,Yes,1,9,89907.38454,0
2247,-0.43157946596551283,1054.14,-0.3203894410303672,-0.9869889039559153,308.78,44.33,8.16,46.52,22.4,98.67,1.46,5.07,7.51,4.06,No,Blue,Yes,1,16,285593.5007,0
6467,-0.24708780621607376,579.98,-1.1878277437103808,-0.008388007682344774,540.09,18.15,4.23,6.39,14.08,94.43,2.03,2.34,4.53,5.95,No,Red,Yes,1,13,152352.5201,0
2164,-0.7694865800737677,550.0,-0.16158777354236128,-0.008388007682344774,111.94,12.29,3.95,120.76,2.74,91.45,1.88,6.2,6.56,5.93,No,Yellow,Yes,1,9,110438.1777,0
2989,-0.33302576329104056,924.7,-1.1878277437103808,0.9702128885912258,918.36,34.02,8.07,82.47,1.9,88.95,1.6,3.47,5.94,7.09,Yes,White,No,1,17,187464.9641,0
3904,-1.0964295584014254,908.42,-1.1878277437103808,-0.008388007682344774,14.54,48.12,7.15,51.58,27.84,92.13,1.58,3.63,5.6,3.08,No,Red,No,1,18,77579.26262,0
2977,-0.7719029290406518,997.36,-1.1878277437103808,-0.008388007682344774,1315.33,24.39,9.29,6.16,15.9,87.17,1.47,6.04,4.43,3.43,No,Green,Yes,1,15,142396.856,0
985,-0.8349086449016969,550.0,-0.7054111564222083,-0.9869889039559153,956.66,28.22,4.92,18.07,1.2,99.9,1.99,1.41,6.3,7.12,No,Red,No,1,20,146499.1281,0
4251,-0.48512839567838445,725.74,-1.1878277437103808,-0.008388007682344774,710.46,23.4,6.55,42.88,3.28,95.48,1.17,5.18,1.62,3.49,No,Blue,No,1,15,156556.7193,0
6123,-0.590943947366954,795.13,-0.868683940326593,-0.008388007682344774,1110.65,46.56,6.55,35.57,11.55,92.9,1.87,5.19,5.27,6.25,No,Blue,Yes,2,16,168800.3902,0
3865,-0.9551926751820935,550.0,-0.9872397133035676,-0.008388007682344774,171.47,48.97,5.62,83.77,34.55,92.42,1.94,3.81,3.41,5.68,No,White,No,1,12,142314.3466,0
3785,-1.4012686225555064,691.66,-0.16711760142203938,-0.9869889039559153,41.14,22.34,5.76,46.06,8.27,89.72,1.05,2.68,5.44,3.32,Yes,Red,No,1,13,18902.83481,0
2201,-0.25664123686651347,550.0,0.13470578048065676,0.9702128885912258,473.24,43.0,5.64,47.87,13.28,92.19,1.36,5.21,4.23,5.72,Yes,Blue,No,1,11,315535.8507,0
318,-1.3238430438354254,550.0,0.02013596327515904,-1.9655898002294858,464.48,17.37,6.05,58.57,9.18,96.32,0.75,2.36,5.45,6.64,Yes,Blue,No,2,51,31465.79415,0
2140,-1.143056671597554,550.0,-1.1323542541323477,-0.008388007682344774,570.12,4.84,9.51,72.2,18.78,99.9,0.94,6.05,8.36,5.11,No,Blue,No,1,2,73744.28124,0
6285,-0.3336363629686701,757.36,-0.47428216410051005,-0.008388007682344774,613.27,23.72,8.47,10.25,11.93,96.15,1.07,6.28,0.58,4.4,No,Red,No,1,18,205286.879,0
6513,-0.25260665920528047,1305.82,0.4658833383701517,-0.008388007682344774,347.3,41.32,4.83,15.75,19.05,98.87,1.93,4.08,7.12,7.9,No,Blue,Yes,1,16,290575.371,0
2737,-0.6302226860705331,1241.82,-1.1878277437103808,-0.008388007682344774,352.69,23.26,6.07,104.92,8.72,95.16,2.34,7.54,7.92,4.43,No,Blue,Yes,1,7,201159.4678,1
4546,-0.5515307252053278,550.0,-1.1260705297058335,-0.008388007682344774,404.19,45.38,2.95,49.09,15.7,92.05,2.03,4.13,2.1,6.25,No,White,No,1,23,119905.8368,0
1246,-1.133419641627967,576.05,-1.1878277437103808,-0.9869889039559153,705.36,33.8,4.28,0.2,6.39,86.57,2.08,4.03,9.94,5.97,No,Blue,No,1,15,37781.33227,0
4754,-0.2528281183201347,620.25,0.6544133295721429,-0.008388007682344774,387.32,5.02,8.27,9.51,20.1,92.78,1.8,3.53,8.66,6.06,No,Red,No,1,14,228638.1768,0
5556,-0.9264764552296598,802.52,-1.1878277437103808,0.9702128885912258,631.97,24.02,10.0,17.9,44.87,99.9,1.31,3.41,8.62,5.8,No,Blue,Yes,1,10,222273.5201,0
243,-0.5431149831615932,550.0,1.879839682742404,-0.9869889039559153,1043.79,46.13,7.36,52.41,5.03,91.57,0.98,6.68,4.6,4.56,Yes,Red,Yes,2,32,141694.2808,0
4498,-0.2267495179871992,776.93,-1.1878277437103808,-1.9655898002294858,472.79,4.44,4.11,34.78,17.72,99.9,1.93,6.11,0.97,3.6,No,Yellow,No,1,6,221796.2177,0
1395,-0.4081539657935414,550.0,-1.0642642990555613,-1.9655898002294858,845.92,24.96,4.66,47.69,25.87,90.98,1.7,1.4,3.76,5.42,No,Red,No,1,6,161706.7611,0
3989,-0.5904102695848604,550.0,0.9528503991086389,-0.008388007682344774,223.9,30.03,7.24,34.92,12.52,91.52,2.06,4.86,10.0,10.0,No,White,No,2,8,178039.5233,0
5733,-0.505539300472821,1765.19,-1.1878277437103808,-1.9655898002294858,1019.86,41.8,5.98,7.49,9.99,86.42,2.04,5.84,9.81,7.21,Yes,White,No,1,15,209479.8954,0
1847,-1.0767321290278073,550.0,-0.17538334407089434,-0.008388007682344774,776.89,31.33,6.65,90.6,27.33,87.16,0.99,7.15,7.26,10.0,No,White,No,1,12,112989.8892,0
5861,-1.3056157917487061,607.24,-0.42952756338592746,-0.008388007682344774,516.29,19.77,7.13,42.67,24.79,89.61,1.56,5.25,2.37,3.49,No,Yellow,Yes,1,13,37158.51351,0
4557,-0.8564102499381612,706.65,-0.9508159391973536,-0.9869889039559153,346.58,54.6,2.92,36.93,21.73,92.57,1.83,2.3,8.12,4.53,Yes,Green,No,1,17,145196.911,0
1681,-0.34001344236613773,550.0,-0.11630625018549808,-0.9869889039559153,111.62,35.94,6.18,54.93,4.39,89.65,1.3,1.87,6.37,7.9,No,Green,Yes,1,9,178417.543,0
6364,-0.19714358178378955,1360.01,-0.3597357937924802,-0.9869889039559153,165.16,37.04,4.89,77.89,10.63,88.16,1.85,3.75,3.83,8.62,No,Blue,No,1,5,205424.9541,1
1951,-0.42598843260426844,924.31,-1.1878277437103808,-0.008388007682344774,860.94,47.7,7.23,87.08,0.22,91.73,1.27,2.23,2.28,5.88,Yes,White,No,1,13,160488.2633,0
1267,-1.3602400856720553,664.28,-0.5939454247647332,-0.9869889039559153,392.33,39.91,8.76,3.48,10.55,96.26,1.24,4.22,2.45,3.97,Yes,White,Yes,1,9,15496.4411,0
3888,-0.6182178664613697,909.24,-0.9046970183961847,-0.9869889039559153,432.83,44.97,4.53,29.12,11.26,96.61,1.87,5.59,3.91,4.57,No,Green,Yes,1,5,147047.6584,0
982,-0.41675741223281193,562.66,-0.7994009000612178,0.9702128885912258,1033.7,31.32,7.11,39.75,15.11,98.52,1.37,6.25,6.98,10.0,No,White,No,1,20,187029.6332,0
4020,-0.2704496834004107,804.09,0.8642107329009872,0.9702128885912258,149.62,61.74,8.01,93.6,23.34,93.91,1.87,6.04,6.73,5.28,No,Red,No,1,9,200915.5985,0
284,-0.45375219502835995,759.92,-1.1878277437103808,0.9702128885912258,237.53,19.42,6.78,72.37,20.92,99.9,2.22,5.45,7.11,7.7,No,White,No,1,7,175073.5731,0
5428,-0.388485921878614,835.7,0.23044253583043392,-0.008388007682344774,165.64,9.56,2.03,57.16,31.11,92.54,1.97,0.97,1.17,4.13,No,Blue,No,2,25,215361.784,1
